lat,lon,prefecture,city
33.961262,131.14406,山口県,山陽小野田市
33.961998,135.952955,和歌山県,北山村
33.96395,134.046781,徳島県,つるぎ町
33.96534,131.83555,山口県,下松市
33.966559,131.30087,山口県,宇部市
33.98194,134.336745,徳島県,神山町
33.986823,134.449138,徳島県,佐那河内村
33.991952,131.604658,山口県,防府市
33.99337,135.184457,和歌山県,広川町
33.993875,134.658578,徳島県,小松島市
33.995267,135.028248,和歌山県,由良町
34.006123,135.733675,奈良県,十津川村
34.015044,134.127429,徳島県,美馬市
34.022402,130.675185,福岡県,芦屋町若松区
34.034251,133.911126,徳島県,東みよし町
34.035125,135.168662,和歌山県,湯浅町
34.035679,134.293553,徳島県,吉野川市
34.043171,134.594574,徳島県,徳島市
34.050185,135.973529,奈良県,下北山村
34.061693,138.967644,東京都,神津島村
34.078156,135.368172,和歌山県,有田川町
34.082388,134.433204,徳島県,石井町
34.086926,139.47848,東京都,三宅村
34.10575,133.038125,愛媛県,今治市
34.108993,135.055333,和歌山県,有田市
34.11077,136.361713,三重県,紀北町
34.121309,134.64417,徳島県,松茂町
34.123017,133.548841,香川県,観音寺市
34.124528,134.290203,徳島県,阿波市
34.125854,134.55115,徳島県,北島町
34.127364,134.493914,徳島県,藍住町
34.129602,136.011044,奈良県,上北山村
34.129823,134.41316,徳島県,上板町
34.142042,136.973231,三重県,志摩市
34.144728,135.63494,奈良県,野迫川村
34.148413,135.196393,和歌山県,海南市
34.149323,133.924909,香川県,まんのう町
34.153179,135.399197,和歌山県,紀美野町
34.153477,134.449841,徳島県,板野町
34.156554,131.83249,山口県,周南市
34.158596,131.543764,山口県,山口市
34.170433,132.638209,広島県,呉市
34.174481,133.646672,香川県,三豊市
34.182047,136.586325,三重県,南伊勢町
34.195287,132.222855,山口県,和木町
34.198617,133.817941,香川県,琴平町
34.198824,130.226563,福岡県,宗像市
34.199786,133.269982,愛媛県,上島町
34.203157,132.422364,広島県,江田島市
34.208325,133.960998,香川県,綾川町
34.209238,131.246032,山口県,美祢市
34.21629,135.621236,和歌山県,高野町
34.218768,132.177244,山口県,岩国市
34.220833,132.246752,広島県,大竹市
34.223487,133.774609,香川県,善通寺市
34.229962,135.524207,和歌山県,かつらぎ町
34.231361,135.857977,奈良県,天川村
34.234004,134.137123,香川県,三木町
34.238888,134.733725,兵庫県,南あわじ市
